Code,Lat,Long,Families,Population,MTN,MCI
21729,37.117117,55.165655,138,478,100,88.48
21730,37.091919,55.190374,1456,4687,100,96.93
21731,36.935296,55.154976,48,146,0,100
21732,36.961937,54.75607,135,437,11.99,100
21733,36.91387,55.102175,98,304,100,100
21734,36.922134,55.122596,31,96,0,86.54
21736,37.081897,55.103114,322,1070,98.83,100
21737,37.077234,55.074619,872,2581,99.5,100
21738,37.073124,55.159993,223,798,100,99.12
21739,36.85943,55.190205,23,82,80.05,100
21740,37.064032,55.099662,71,229,98.63,100
21741,37.066304,55.197922,335,1130,100,100
21744,36.886007,55.19858,59,172,100,99.41
21745,37.071066,55.137035,1200,3868,100,100
21747,37.094085,55.137018,66,259,100,83
21748,37.077861,55.215573,96,336,100,100
21751,37.057301,55.292955,340,1100,100,99.25
21752,37.115863,55.251237,481,1484,36.64,100
21753,36.956723,55.10954,66,203,100,97.17
21754,37.060191,55.20604,498,1726,100,100
21755,37.062577,55.125001,576,1914,99.63,100
21756,37.13257,55.093093,102,344,0,70.65
21757,36.91271,55.22363,222,794,84.52,94.78
21758,36.813758,54.347305,195,656,100,99.3
21759,37.032881,55.20131,131,405,59.01,100
21762,37.061149,55.231247,487,1480,100,100
21768,37.061499,55.104898,207,738,100,100
21772,37.119615,55.258967,356,1235,100,74.88
21773,36.928363,55.200632,225,815,100,100
21821,37.000014,54.913092,78,233,100,100
21822,36.97867,54.966456,297,961,100,98.86
21823,36.843661,54.940554,33,98,19.94,74.95
21824,36.978552,54.938522,144,482,100,90.68
21825,36.967659,54.917889,571,1901,100,74.97
21826,36.858623,55.027029,55,180,0,68.88
21827,36.964946,54.959153,616,1872,100,100
21829,36.881964,54.95791,194,612,8.42,100
21830,37.003566,54.956826,698,2166,68.06,100
21831,36.996749,55.065,175,575,100,100
21832,37.012526,55.032137,123,379,90.98,100
21833,36.817152,55.04608,98,295,0,100
21834,36.963851,54.970587,367,1155,100,21.25
21835,36.974137,55.021584,322,1049,70.95,100
21836,36.79251,55.013772,162,443,1.41,98.9
21837,37.03359,55.03045,688,2303,100,100
21838,37.025337,54.936349,304,960,100,99.47
21839,36.935126,54.941165,217,663,97.33,100
21841,36.973199,54.959988,49,159,97.34,100
21842,36.986652,54.917926,236,748,100,100
21843,36.82975,55.035821,48,144,0,100
21844,36.95352,54.96139,219,664,98.04,99.43
21845,37.029952,54.95827,374,1282,80.76,100
21871,36.912842,55.473359,232,739,100,100
21873,36.848134,55.35045,75,228,100,100
21874,36.982523,55.348832,38,130,98.11,100
21875,36.903544,55.320414,81,215,0,99.81
21876,36.954106,55.42633,592,1928,12.49,64.23
21877,36.911664,55.319353,26,69,0,42.7
21879,36.958426,55.303564,38,112,100,100
21880,36.975969,55.272078,322,933,100,100
21909,37.420046,55.566006,464,1715,100,92.55
21910,37.348241,55.544742,89,335,100,100
21911,37.355199,55.546432,339,1229,100.01,100
21913,37.478767,55.691817,318,1225,100,98.42
21914,37.361658,55.61529,420,1512,100,95.44
21915,37.51315,55.573237,124,438,100,100
21916,37.340276,55.396376,123,449,100,60.22
21918,37.353541,55.461533,389,1325,100,95.66
21919,37.692182,55.850503,148,495,100,84.49
21920,37.400444,55.460604,287,981,56.41,98.49
21922,37.396081,55.758505,407,1343,99.22,100
21925,37.396009,55.785033,351,1325,100,91.05
21927,37.483454,55.72702,56,172,100,20.95
21928,37.323987,55.465893,157,510,100,100
21929,37.508728,55.599902,88,278,100,80.09
21930,37.326476,55.550389,403,1315,74.76,92.22
21931,37.34724,55.530995,175,613,100,82.06
21932,37.427751,55.361414,1107,4546,100,91.99
21933,37.435044,55.38989,379,1351,100,86.44
21934,37.317783,55.451995,58,182,100,92.04
21935,37.328944,55.444471,300,981,100,100
21936,37.446278,55.619694,111,386,100,100
21938,37.388654,55.381803,281,958,100,100
21939,37.492117,55.719615,181,637,70.52,4.01
21941,37.455732,55.454406,72,260,100,100
21942,37.439285,55.49006,817,2824,98.04,100
21943,37.369534,55.462622,146,477,100,75.56
21944,37.341912,55.480383,217,686,100,57.9
21945,37.392441,55.417065,67,228,99.53,37.09
21946,37.505909,55.745129,123,458,18.53,97.03
21947,37.312099,55.542107,63,210,78.78,33.02
21948,37.392862,55.3866,74,239,100,100
21949,37.461725,55.698306,168,605,100,77.99
21950,37.446515,55.719363,98,355,0,41.44
21952,37.472029,55.503218,475,1608,97.14,100
21953,37.416029,55.397877,55,197,100,62.1
21954,37.435143,55.406765,467,1685,85.57,85.67
21955,37.325536,55.418676,276,926,100,100
21956,37.541196,55.700331,400,1689,98.57,100
21957,37.424553,55.58802,529,1881,100,100
21958,37.355484,55.564475,260,871,100,100
21959,37.555141,55.746293,184,778,100,97.49
21960,37.344764,55.514841,263,966,98.13,76.61
21961,37.385396,55.430103,117,380,92.05,81.88
21962,37.473092,55.465994,57,253,99.15,81.88
21963,37.475477,55.513562,85,288,100,98.03
21965,37.340284,55.37178,251,844,100,64.29
21966,37.493447,55.497895,1224,4535,99.64,100
21969,37.441963,55.75679,127,479,49.02,100
21970,37.440777,55.617012,412,1511,99.47,99.3
21971,37.528175,55.668398,85,314,98.37,100
21972,37.517026,55.612757,249,825,69.4,86.59
21973,37.367241,55.399764,489,1657,85.88,47.35
21974,37.482333,55.705017,175,587,0,98.35
21975,37.360715,55.498651,772,2773,100,85.38
21976,37.516801,55.560278,147,510,100,100
21977,37.374971,55.359508,427,1500,100,85.98
21978,37.514131,55.731894,61,213,90.5,98.57
21979,37.50991,55.54129,409,1381,100,87.05
21980,37.439498,55.640327,50,161,3.85,11.61
21981,37.359388,55.658967,174,537,100,98.21
21982,37.45356,55.431788,627,2385,100,35.7
21983,37.451818,55.392219,240,867,100,100
21984,37.532113,55.680186,161,615,60.34,39.07
21985,37.471855,55.62492,534,2068,97.03,100
21986,37.460782,55.626356,205,754,100,92.93
21988,37.398515,55.522716,297,1119,100,100
21990,37.404198,55.549932,60,202,100,99.87
22072,37.656354,56.092096,284,956,21.78,98.75
22073,37.116237,55.217408,456,1624,34.88,64.16
22075,37.682335,55.904967,83,310,44.34,43.41
22076,37.711442,55.916871,119,457,20.76,84.5
22078,37.910888,56.19875,60,228,100,96.94
22079,37.766247,56.010121,60,238,0,0
22082,37.805281,55.889879,98,370,27.25,99.81
22084,37.810705,56.030228,43,153,61.9,71.89
22086,37.987116,56.100249,102,380,0.89,99.8
22089,37.595685,55.633934,26,86,89.7,100
22091,37.928645,56.19899,30,130,84.46,100
22098,37.632245,55.699301,95,313,97.75,99.66
22099,37.625449,55.921457,147,543,100,89.8
22101,37.79941,55.939246,365,1307,97.68,96.06
22102,37.705956,55.859884,226,922,91.54,72.39
22105,37.867954,55.773632,170,623,85.86,100
22106,38.040399,56.068394,116,400,18.67,99.26
22107,37.613916,55.949622,79,303,100,94.33
22108,37.821849,55.879245,83,266,99.01,100
22110,37.989894,56.138354,69,243,0,86.41
22111,37.868179,55.791645,121,444,100,97.98
22112,37.746507,55.980202,31,105,0,0
22113,37.867664,55.765359,198,727,99.77,93.74
22114,38.060519,56.160307,31,116,65.88,68.95
22115,37.887167,55.891497,60,223,65.7,36.34
22116,37.635466,55.934809,192,721,73.92,99.71
22118,37.682863,55.748589,352,1402,24.56,100
22119,37.657071,55.901546,195,682,83.51,64.05
22120,38.049793,56.137894,24,91,100,0
22122,37.603052,55.647439,54,186,55.9,99.07
22123,37.62037,55.674196,163,542,96.57,100
22124,37.883858,55.853061,115,429,57.21,31.31
22125,37.879852,55.962587,128,499,50.61,95.92
22126,37.715718,55.676588,185,640,100,69.16
22127,37.696346,55.838035,141,508,99.08,90.65
22128,37.682204,55.868618,370,1396,98.56,96.61
22129,37.577744,55.785133,232,858,90.54,85.71
22130,37.87753,55.806492,69,249,100,97.38
22133,37.629253,55.785734,47,159,0,13.33
22134,37.909883,56.002303,36,135,0,99.14
22135,37.913673,56.2461,80,288,100,100
22136,37.605981,55.825184,374,1465,0,78.85
22137,37.630118,55.865176,339,1252,80.7,99.28
22138,37.728366,55.875094,105,363,100,74.77
22139,37.646909,55.720722,170,620,0,100
22140,37.608931,55.902947,187,687,100,83.82
22141,37.660554,55.931126,104,350,6.35,0.39
22142,37.627107,55.716069,57,171,94.83,96.36
22144,37.91779,56.159621,87,288,100,100
22145,37.561087,55.974781,205,709,100,100
22146,37.913042,56.235123,37,164,0,100
22147,37.912525,56.227543,34,148,98.03,100
22150,38.048322,55.81718,301,1079,0,99.66
22151,37.074435,54.583876,51,194,23.7,92.05
22152,37.902502,56.018866,101,352,0,60.16
22153,37.614767,55.997508,586,2183,89.52,100
22155,37.829568,56.087998,111,390,48.74,100
22157,37.63773,55.90273,73,254,39.11,100
22161,37.994768,55.645433,440,1702,71.53,99.84
22252,37.410641,55.243572,694,2675,96.26,100
22254,37.300844,55.242735,1403,5534,100,100
22255,37.276311,55.15603,2169,8148,100,99.43
22257,37.407158,55.131317,245,950,100,99.64
22258,37.323574,55.268309,293,1045,83.14,100
22259,37.266808,55.192709,819,3055,100,100
22260,37.272529,55.107209,120,430,95.65,98.65
22261,37.242473,55.004584,258,953,100,66.47
22262,37.434399,55.100171,192,711,96.84,44.37
22263,37.338721,55.284571,287,1141,100,44.1
22264,37.268089,55.203239,882,3397,100,100
22265,37.214164,55.061395,622,2209,99.99,100
22268,37.251235,54.941823,598,2477,100,99.9
